id,"vid","name","artist","genre","tags"
1,"NK2FqPNIT_U","All Gold Everything","Trinidad James","Rap","hood/thug/hip-hop/atlanta"
2,"lG5aSZBAuPs","About You","XXYYXX","Chillwave","smoke/chill/relaxed"
3,"FJJ8hWDXWGs","I'm God","Clams Casino","Chillwave","smoke/chill/relaxed"
4,"xc1u9X4HFAE","False Astronomy","Mr. Lies","Chill","smoke/chill/relaxed"
5,"1FH-q0I1fJY","Genesis","Grimes","Alternative","weird/chill/relaxed"
6,"ZlWRhnYgWcc","Liquorice","Azealia Banks","Rap","hip-hop/jam"
7,"JtH68PJIQLE","Oblivion","Grimes","Alternative","weird/chill/relaxed"
8,"mIMMZQJ1H6E","Disparate Youth","Santigold","Pop",NULL
9,"ytIfSuy_mOA","Get Free","Major Lazer","Alternative","chill/foreign"
10,"hi4pzKvuEQM","Gold","Chet Faker","Alternative","rollerblade/rollerskate"
11,"dCCXq9QB-dQ","Hunger of the Pine","alt-J","Alternative","arrows/forest/running"
12,"3yDP9MKVhZc","Two Weeks","FKA twigs","Alternative","throne/queen"
13,"5jUGAVUwhRU","Down on My Luck","Vic Mensa","Rap","hip-hop/club"
14,"dwUug-ucBLc","The Worst Guys","Childish Gambino/Chance the Rapper","Rap","hip-hop/beach"
15,"0wrsZog8qXg","Such Great Heights","the Postal Service","Alternative","science/clean room"
16,"Teyy1A_AJso","I'm the Man That Will Find You","Connan Mockasin","Alternative","creeper/love"
17,"wIuBcb2T55Q","My Kind of Woman","Mac DeMarco","Alternative","weird/thrift shop"
18,"J2ouQMCcOz4","NRG","Duck Sauce","Alternative","weird/strange/sales/show"
19,"MfttyNSCI-g","Permission to Love","Hayden James",NULL,"video games/8 bit/pixels"
20,"30RLLTGrgxU","Sauna","Casey Veggies","Rap","sauna/steam/hip-hop"
21,"L4GrDOOIIbk","10,000 Emerald Pools","BORNS","Alternative","water/pool/swimming"
